trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.0035, 'e': 0.8546084452128195}",30,0,-231.8060720552149,"{0: 13, 1: 5, 2: 6, 3: 4, 4: 2}",1
157,False,"{'a': 0.0035, 'e': 0.8527857590975187}",20,0,-69.66608951195697,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
158,False,"{'a': 0.0035, 'e': 0.8509526263673333}",20,5,-34.23904712946386,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
159,False,"{'a': 0.0035, 'e': 0.849109069478116}",25,13,-57.86652113944794,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
160,False,"{'a': 0.0035, 'e': 0.8472551110134161}",25,19,14.0929849942698,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.0035, 'e': 0.8453907736842013}",25,17,-8.761255525805478,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.0035, 'e': 0.8435160803285807}",25,0,-83.60142214121436,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
163,False,"{'a': 0.0035, 'e': 0.8416310539115244}",30,3,-44.11307892122047,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 0}",1
164,False,"{'a': 0.0035, 'e': 0.8397357175245824}",30,0,-183.56519538413147,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
165,False,"{'a': 0.0035, 'e': 0.8378300943856019}",30,6,-49.63062277955778,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 0}",1
166,False,"{'a': 0.0035, 'e': 0.8359142078384423}",25,0,-59.060493131998086,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
167,False,"{'a': 0.0035, 'e': 0.83398808135269}",25,0,-223.16935072145793,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
168,False,"{'a': 0.0035, 'e': 0.8320517385233703}",20,0,-58.90450380146283,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
169,False,"{'a': 0.0035, 'e': 0.8301052030706586}",20,6,-33.21756434016182,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
170,False,"{'a': 0.0035, 'e': 0.8281484988395901}",20,0,-46.14624166462744,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
171,False,"{'a': 0.0035, 'e': 0.8261816497997668}",30,0,-61.607910961058295,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
